pt0.x,,,,,pt1.c,,,,,pt0.x,,,,,pt1.c,,,,,pt0.x,,,,,pt1.c,,,
threads,cores,runtime,value,,threads,cores,runtime,value,,threads,cores,runtime,value,,threads,cores,runtime,value,,threads,cores,runtime,value,,threads,cores,runtime,value
1,1,96426.142,-1.88E-09,,1,1,30208.722,1.35E+00,,2,1,48512.267,-1.88E-09,,2,1,15867.006,1.35E+00,,4,1,25206.399,-1.88E-09,,4,1,9121.693,1.35E+00
1,1,96125.525,-1.88E-09,,1,1,30222.053,1.35E+00,,2,1,48495.628,-1.88E-09,,2,1,15734.49,1.35E+00,,4,1,25217.991,-1.88E-09,,4,1,9588.58,1.35E+00
1,1,96082.367,-1.88E-09,,1,1,30174.818,1.35E+00,,2,1,48548.409,-1.88E-09,,2,1,15863.192,1.35E+00,,4,1,25242.346,-1.88E-09,,4,1,9654.481,1.35E+00
1,1,96095.095,-1.88E-09,,1,1,30191.116,1.35E+00,,2,1,48584.408,-1.88E-09,,2,1,15734.74,1.35E+00,,4,1,25248.748, -NAN,,4,1,9726.743,1.35E+00
1,1,96105.611,-1.88E-09,,1,1,30222.205,1.35E+00,,2,1,48606.835,-1.88E-09,,2,1,15904.022,1.35E+00,,4,1,25283.822,-1.88E-09,,4,1,9393.345,1.35E+00
1,1,96045.778,-1.88E-09,,1,1,30258.985,1.35E+00,,2,1,48741.132,-1.88E-09,,2,1,15868.41,1.35E+00,,4,1,25304.32, -NAN,,4,1,9680.608,1.35E+00
1,1,96829.416,-1.88E-09,,1,1,29104.42,1.35E+00,,2,1,53913.483,-1.88E-09,,2,1,15726.118,1.35E+00,,4,1,25808.869,-1.88E-09,,4,1,9793.279,1.35E+00
1,1,91189.829,-1.88E-09,,1,1,29104.568,1.35E+00,,2,1,48184.068,-1.88E-09,,2,1,15763.334,1.35E+00,,4,1,24684.292,-1.88E-09,,4,1,9582.471,1.35E+00
1,1,91145.519,-1.88E-09,,1,1,29459.356,1.35E+00,,2,1,48707.786, -NAN,,2,1,15928.646,1.35E+00,,4,1,25183.514, -NAN,,4,1,9691.687,1.35E+00
1,1,96154.574,-1.88E-09,,1,1,29490.531,1.35E+00,,2,1,48731.407, -NAN,,2,1,15785.86,1.35E+00,,4,1,25175.279,-1.88E-09,,4,1,9638.897,1.35E+00
1,2,45645.34,-1.42E-09,,1,2,14747.071,1.35E+00,,2,2,48166.652,-6.88E-10,,2,2,15297.625,1.35E+00,,4,2,24925.057,-8.85E-10,,4,2,11231.728,1.35E+00
1,2,45654.819,-1.42E-09,,1,2,14742.997,1.35E+00,,2,2,48382.888,-1.06E-09,,2,2,15287.976,1.35E+00,,4,2,24737.939,-8.56E-10,,4,2,8959.128,1.35E+00
1,2,45618.366,-4.61E-10,,1,2,14736.675,1.35E+00,,2,2,48262.111,-8.22E-10,,2,2,15287.94,1.35E+00,,4,2,24409.935,-9.10E-10,,4,2,8539.356,1.35E+00
1,2,47944.047,-4.61E-10,,1,2,14831.958,1.35E+00,,2,2,48194.311,-6.88E-10,,2,2,15412.065,1.35E+00,,4,2,24437.826,-9.53E-10,,4,2,8404.145,1.35E+00
1,2,47491.85,-1.42E-09,,1,2,14761.684,1.35E+00,,2,2,48448.011,-8.22E-10,,2,2,15374.899,1.35E+00,,4,2,24336.924,-1.04E-09,,4,2,8715.392,1.35E+00
1,2,47514.677,-4.61E-10,,1,2,14761.361,1.35E+00,,2,2,48459.474,-1.06E-09,,2,2,15428.544,1.35E+00,,4,2,24776,-8.13E-10,,4,2,8487.546,1.35E+00
1,2,47446.437,-1.42E-09,,1,2,14764.294,1.35E+00,,2,2,49037.635,-6.88E-10,,2,2,15407.565,1.35E+00,,4,2,31527.049,-9.10E-10,,4,2,8598.701,1.35E+00
1,2,47483.064,-4.61E-10,,1,2,14760.887,1.35E+00,,2,2,48353.068,-1.19E-09,,2,2,15337.797,1.35E+00,,4,2,30819.256,-8.81E-10,,4,2,8626.278,1.35E+00
1,2,47437.461,-1.42E-09,,1,2,14760.868,1.35E+00,,2,2,48415.84,-6.88E-10,,2,2,15479.635,1.35E+00,,4,2,24619.818,-9.29E-10,,4,2,8188.454,1.35E+00
1,2,47417.163,-4.61E-10,,1,2,14756.665,1.35E+00,,2,2,50469.989,-1.06E-09,,2,2,15353.904,1.35E+00,,4,2,23475.504,-8.85E-10,,4,2,8233.973,1.35E+00
1,4,24116.675,-5.24E-10,,1,4,7693.551,1.35E+00,,2,4,27032.703,-2.96E-10,,2,4,7883.137,1.35E+00,,4,4,26557.644,-4.54E-10,,4,4,7846.68,1.35E+00
1,4,24079.22,-8.96E-10,,1,4,7699.452,1.35E+00,,2,4,24256.685,4.69E+198,,2,4,7893.214,1.35E+00,,4,4,24324.545,-4.78E-10,,4,4,8156.128,1.35E+00
1,4,24109.44,-2.97E-10,,1,4,7706.719,1.35E+00,,2,4,25140.485,-3.68E-10,,2,4,7698.987,1.35E+00,,4,4,25767.141,-4.38E-10,,4,4,7696.787,1.35E+00
1,4,24112.661,-5.24E-10,,1,4,7724.045,1.35E+00,,2,4,27282.74,-5.60E-10,,2,4,7902.799,1.35E+00,,4,4,24340.081,1.72E+212,,4,4,7744.995,1.35E+00
1,4,24101.918,4.69E+198,,1,4,8614.171,1.35E+00,,2,4,24228.944,-6.33E-10,,2,4,7901.852,1.35E+00,,4,4,29044.807,1.29E+171,,4,4,7661.095,1.35E+00
1,4,24150.962,-5.24E-10,,1,4,7716.438,1.35E+00,,2,4,24356.578,-4.84E-10,,2,4,7743.493,1.35E+00,,4,4,24284.138,1.29E+171,,4,4,7763.927,1.35E+00
1,4,26933.179,-1.64E-10,,1,4,7725.815,1.35E+00,,2,4,24173.813,-4.59E-10,,2,4,7725.308,1.35E+00,,4,4,27185.055,1.94E+171,,4,4,10784.644,1.35E+00
1,4,24126.018,-5.24E-10,,1,4,7731.713,1.35E+00,,2,4,24360.481,4.69E+198,,2,4,7813.32,1.35E+00,,4,4,26757.276,1.29E+171,,4,4,8560.98,1.35E+00
1,4,24126.689,-5.24E-10,,1,4,7743.652,1.35E+00,,2,4,24308.288,9.39E+198,,2,4,8181.98,1.35E+00,,4,4,24367.048,-5.63E-10,,4,4,7873.944,1.35E+00
1,4,24210.447,-2.97E-10,,1,4,7468.895,1.35E+00,,2,4,24273.068,6.47E+170,,2,4,8139.766,1.35E+00,,4,4,25004.563,-5.03E-10,,4,4,7968.43,1.35E+00
1,8,12093.71,-5.06E-10,,1,8,3910.288,1.35E+00,,2,8,12368.486,-2.76E-10,,2,8,4080.42,1.35E+00,,4,8,12631.488,-2.61E-10,,4,8,4049.305,1.35E+00
1,8,12097.521,-1.70E-10,,1,8,3889.079,1.35E+00,,2,8,12574.584,9.39E+198,,2,8,4658.41,1.35E+00,,4,8,12414.697,-2.46E-10,,4,8,4199.1,1.35E+00
1,8,12098.305,-1.70E-10,,1,8,3901.378,1.35E+00,,2,8,13956.499,-1.76E-10,,2,8,5498.805,1.35E+00,,4,8,13196.766,5.39E+228,,4,8,4510.338,1.35E+00
1,8,12095.84,-2.98E-10,,1,8,3908.095,1.35E+00,,2,8,14330.653,1.47E+224,,2,8,4187.051,1.35E+00,,4,8,12401.982,-2.22E-10,,4,8,4048.227,1.35E+00
1,8,13559.337,-3.90E-10,,1,8,4859.058,1.35E+00,,2,8,12254.779,7.35E+223,,2,8,4364.492,1.35E+00,,4,8,12360.767,-2.10E-10,,4,8,4099.51,1.35E+00
1,8,11988.835,5.14E+252,,1,8,3821.451,1.35E+00,,2,8,13809.348,5.39E+228,,2,8,4676.869,1.35E+00,,4,8,12770.634,1.47E+224,,4,8,4586.288,1.35E+00
1,8,12117.314,7.35E+223,,1,8,3846.553,1.35E+00,,2,8,14795.576,7.35E+223,,2,8,4635.458,1.35E+00,,4,8,14145.965,2.21E+224,,4,8,4747.477,1.35E+00
1,8,12102.305,1.29E+248,,1,8,3940.798,1.35E+00,,2,8,15005.614,5.39E+228,,2,8,4991.752,1.35E+00,,4,8,12456.347,-2.16E-10,,4,8,4269.398,1.35E+00
1,8,11987.985,7.35E+223,,1,8,3976.78,1.35E+00,,2,8,14896.859,1.47E+224,,2,8,4759.702,1.35E+00,,4,8,12320.689,-2.34E-10,,4,8,4101.628,1.35E+00
1,8,11985.716,7.35E+223,,1,8,3820.995,1.35E+00,,2,8,12424.441,-3.01E-10,,2,8,4111.463,1.35E+00,,4,8,12665.202,2.21E+224,,4,8,4053.322,1.35E+00
1,16,6162.387,-3.20E-11,,1,16,2020.207,1.35E+00,,2,16,6430.496,1.39E+253,,2,16,2400.296,1.35E+00,,4,16,6657.313,1.21E+253,,4,16,2279.279,1.35E+00
1,16,6134.325,-3.20E-11,,1,16,2011.202,1.35E+00,,2,16,7271.462,5.14E+252,,2,16,2466.431,1.35E+00,,4,16,7032.698,5.14E+252,,4,16,2299.795,1.35E+00
1,16,6118.91,-3.20E-11,,1,16,2004.169,1.35E+00,,2,16,7886.468,5.14E+252,,2,16,2287.582,1.35E+00,,4,16,6612.498,1.21E+253,,4,16,2449.205,1.35E+00
1,16,6727.063,5.14E+252,,1,16,1958.24,1.35E+00,,2,16,7682.907,1.21E+253,,2,16,2632.92,1.35E+00,,4,16,6800.137,1.39E+253,,4,16,2454.408,1.35E+00
1,16,7510.262,-5.89E-11,,1,16,2883.732,1.35E+00,,2,16,8252.332,5.14E+252,,2,16,2252.178,1.35E+00,,4,16,6761.982,1.03E+253,,4,16,2445.69,1.35E+00
1,16,6039.113,-4.36E-11,,1,16,2899.161,1.35E+00,,2,16,6875.195,1.03E+253,,2,16,2239.359,1.35E+00,,4,16,6598.475,-1.19E-10,,4,16,2406.218,1.35E+00
1,16,7351.789,5.14E+252,,1,16,3232.161,1.35E+00,,2,16,8183.351,1.21E+253,,2,16,2636.703,1.35E+00,,4,16,7780.866,5.14E+252,,4,16,2260.272,1.35E+00
1,16,10035.773,5.14E+252,,1,16,2005.07,1.35E+00,,2,16,7526.811,5.14E+252,,2,16,2362.749,1.35E+00,,4,16,6543.766,-1.14E-10,,4,16,2443.199,1.35E+00
1,16,6122.201,-5.07E-11,,1,16,2018.908,1.35E+00,,2,16,6821.661,1.39E+253,,2,16,2316.226,1.35E+00,,4,16,6847.864,1.21E+253,,4,16,2477.746,1.35E+00
1,16,6111.369,-1.82E-10,,1,16,2003.205,1.35E+00,,2,16,6909.225,5.14E+252,,2,16,2465.837,1.35E+00,,4,16,6418.481,-1.25E-10,,4,16,2543.782,1.35E+00
